ID,prompt,URL firefly,URL midjourney,URL Dall.e 2,URL Glide,URL Stable Diffusion 1.*,URL Stable Diffusion 2.1,URL Stable Diffusion XL,URL Dall.e 3,N categories,N aes,cat 1,cat 2,cat 3,Aesthetic 1,Aesthetic 2,Aesthetic 3,"Scale (SD, Glide)",Temp (glide),md ver,md chaos,md raw,md stylize,md ar,,sd 1.x model,ff style 1,ff style 2,ff style 3,ff style 4,ff color,ff lighting,ff composition,ff aspectRatio,ff modelVersion,ff prompt text,ff command,sdxl res index,sd2 resolution,sdxl W,sdxl H,sd2/sdxl steps,sd2/sdxl sampler,sd2/sdxl guider,sd2/sdxl guider vanilla scale,sdxl use refiner,sdxl refiner steps,sdxl refiner sampler,sdxl refiner guider,sdxl refiner vanilla scale,sdxl refiner finish denoising
0000,"A late-night ramen chef, in an open kitchen, cooks for a lone girl, vintage vinyl player playing soft lo-fi beats, the dim, warm lights of the small, rustic café, colorful graffiti on walls, vibrant signs, plates of spicy ramen, sizzling in woks, shot from the entrance, night street lights flickering outside.",boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/firefly/000.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/midjourney/000.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle2/000.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/glide/000.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-1/000.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-2/000.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-xl/000.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle3/000.png,1,2,"<Photos of or in restaurants, cafes or bars> ",,,<lo-fi> ,<Vibrant> ,,5.245091904,1,5.1,0,TRUE,100,10061:10000,#REF!,1-2,,,,,warm_colors,backlighting,shot_from_above,landscape,2,A+late-night+ramen+chef%2C+in+an+open+kitchen%2C+cooks+for+a+lone+girl%2C+vintage+vinyl+player+playing+soft+lo-fi+beats%2C+the+dim%2C+warm+lights+of+the+small%2C+rustic+café%2C+colorful+graffiti+on+walls%2C+vibrant+signs%2C+plates+of+spicy+ramen%2C+sizzling+in+woks%2C+shot+from+the+entrance%2C+night+street+lights+flickering+outside.,https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=A+late-night+ramen+chef%2C+in+an+open+kitchen%2C+cooks+for+a+lone+girl%2C+vintage+vinyl+player+playing+soft+lo-fi+beats%2C+the+dim%2C+warm+lights+of+the+small%2C+rustic+café%2C+colorful+graffiti+on+walls%2C+vibrant+signs%2C+plates+of+spicy+ramen%2C+sizzling+in+woks%2C+shot+from+the+entrance%2C+night+street+lights+flickering+outside.&modelVersion=v2&aspectRatio=landscape&style=warm_colors&style=backlighting&style=shot_from_above,25,768,1664,576,44,LinearMultistepSampler,VanillaCFG,4.060969821,TRUE,42,DPMPP2MSampler,VanillaCFG,1.32054034,TRUE
0001,"A silhouette of a steam train, puffing smoke, at the horizon line, crossing the vast, deserted snowscape, sun just beginning to set, train tracks disappear into the snowy wilderness, the wheels carve a dual-path of footprints in the fresh, untouched snow, shot from a parallel path, orange and blue contrasts, long exposure.",boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/firefly/001.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/midjourney/001.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle2/001.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/glide/001.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-1/001.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-2/001.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-xl/001.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle3/001.png,3,0,"<Photos of footprints in sand, snow, etc> ",<Photos of trains or train tracks> ,<Sunrises and sunsets> ,,,,7.661575669,0.998,5,0,FALSE,48,10000:8547,#REF!,1-1,iridescent,,,,,,,landscape,1,A+silhouette+of+a+steam+train%2C+puffing+smoke%2C+at+the+horizon+line%2C+crossing+the+vast%2C+deserted+snowscape%2C+sun+just+beginning+to+set%2C+train+tracks+disappear+into+the+snowy+wilderness%2C+the+wheels+carve+a+dual-path+of+footprints+in+the+fresh%2C+untouched+snow%2C+shot+from+a+parallel+path%2C+orange+and+blue+contrasts%2C+long+exposure.,https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=A+silhouette+of+a+steam+train%2C+puffing+smoke%2C+at+the+horizon+line%2C+crossing+the+vast%2C+deserted+snowscape%2C+sun+just+beginning+to+set%2C+train+tracks+disappear+into+the+snowy+wilderness%2C+the+wheels+carve+a+dual-path+of+footprints+in+the+fresh%2C+untouched+snow%2C+shot+from+a+parallel+path%2C+orange+and+blue+contrasts%2C+long+exposure.&modelVersion=v1&aspectRatio=landscape&style=iridescent,25,768,1664,576,36,LinearMultistepSampler,VanillaCFG,5.335059556,TRUE,36,DPMPP2MSampler,IdentityGuider,1.636417843,FALSE
0002,"Vibrant green moss, creeping up a large, jagged rock formation, in a lush tropical rainforest, raindrops trickle down the stone, highlighting the natural texture, dense ferns and leafy greens fill the scene, shot from a low angle, natural daylight, soft focus on the moss details, earthy tones.",boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/firefly/002.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/midjourney/002.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle2/002.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/glide/002.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-1/002.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-2/002.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-xl/002.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle3/002.png,2,2,"<Photos of moss or lichen (in caves, forests, or other natural habitats, or on buildings)> ",<Rock formations> ,,<Lush> ,<Nature-inspired> ,,5.031654974,1,5.2,36,FALSE,137,3723:5000,#REF!,1-3,,,,,,,,widescreen,1,Vibrant+green+moss%2C+creeping+up+a+large%2C+jagged+rock+formation%2C+in+a+lush+tropical+rainforest%2C+raindrops+trickle+down+the+stone%2C+highlighting+the+natural+texture%2C+dense+ferns+and+leafy+greens+fill+the+scene%2C+shot+from+a+low+angle%2C+natural+daylight%2C+soft+focus+on+the+moss+details%2C+earthy+tones.,https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=Vibrant+green+moss%2C+creeping+up+a+large%2C+jagged+rock+formation%2C+in+a+lush+tropical+rainforest%2C+raindrops+trickle+down+the+stone%2C+highlighting+the+natural+texture%2C+dense+ferns+and+leafy+greens+fill+the+scene%2C+shot+from+a+low+angle%2C+natural+daylight%2C+soft+focus+on+the+moss+details%2C+earthy+tones.&modelVersion=v1&aspectRatio=widescreen,17,768,1216,832,46,DPMPP2MSampler,IdentityGuider,,FALSE,,,,,
0003,"A breathtaking aerial view, of a crowded marketplace, nestled at the base of ancient mountains, a historic monastery perched precariously on a cliff, the rustic roofs of stalls, bright flowercore stalls selling vibrant local blooms, captured at high altitude, mid-afternoon light casting long shadows, art-deco inspired geometry of the roads, high contrast.",boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/firefly/003.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/midjourney/003.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle2/003.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/glide/003.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-1/003.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-2/003.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-xl/003.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle3/003.png,3,3,"<Drone or aerial photography  (of crowds, isolated or hard-to-reach places, roads, highways, etc)> ",<Mountain ranges> ,"<Historic buildings, national monuments, religious monuments> ",<Rustic> ,<Art Deco> ,<flowercore> ,6.511165167,0.997,5,0,FALSE,13,10000:12103,#REF!,1-2,bioluminescent,,,,,,,widescreen,1,A+breathtaking+aerial+view%2C+of+a+crowded+marketplace%2C+nestled+at+the+base+of+ancient+mountains%2C+a+historic+monastery+perched+precariously+on+a+cliff%2C+the+rustic+roofs+of+stalls%2C+bright+flowercore+stalls+selling+vibrant+local+blooms%2C+captured+at+high+altitude%2C+mid-afternoon+light+casting+long+shadows%2C+art-deco+inspired+geometry+of+the+roads%2C+high+contrast.,https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=A+breathtaking+aerial+view%2C+of+a+crowded+marketplace%2C+nestled+at+the+base+of+ancient+mountains%2C+a+historic+monastery+perched+precariously+on+a+cliff%2C+the+rustic+roofs+of+stalls%2C+bright+flowercore+stalls+selling+vibrant+local+blooms%2C+captured+at+high+altitude%2C+mid-afternoon+light+casting+long+shadows%2C+art-deco+inspired+geometry+of+the+roads%2C+high+contrast.&modelVersion=v1&aspectRatio=widescreen&style=bioluminescent,7,768,896,1152,42,EulerAncestralSampler,VanillaCFG,3.524268328,FALSE,,,,,
0004,"A pair of children, running and laughing, in a blooming public garden, soft sunlight filters through the lush canopies, a river gurgles nearby, pastel-coloured tulips, willow trees grace the pathways, shot from the entrance of the garden, backlit subjects, overexposure for a light and airy feel.",boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/firefly/004.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/midjourney/004.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle2/004.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/glide/004.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-1/004.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-2/004.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-xl/004.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle3/004.png,1,1,<Photos of gardens or parks> ,,,<light and airy> ,,,5.563103422,0.999,5,77,FALSE,117,2000:3829,#REF!,1-4,,,,,warm_colors,,blurry_background,square,1,A+pair+of+children%2C+running+and+laughing%2C+in+a+blooming+public+garden%2C+soft+sunlight+filters+through+the+lush+canopies%2C+a+river+gurgles+nearby%2C+pastel-coloured+tulips%2C+willow+trees+grace+the+pathways%2C+shot+from+the+entrance+of+the+garden%2C+backlit+subjects%2C+overexposure+for+a+light+and+airy+feel.,https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=A+pair+of+children%2C+running+and+laughing%2C+in+a+blooming+public+garden%2C+soft+sunlight+filters+through+the+lush+canopies%2C+a+river+gurgles+nearby%2C+pastel-coloured+tulips%2C+willow+trees+grace+the+pathways%2C+shot+from+the+entrance+of+the+garden%2C+backlit+subjects%2C+overexposure+for+a+light+and+airy+feel.&modelVersion=v1&aspectRatio=square&style=warm_colors&style=blurry_background,6,768,832,1152,39,EulerEDMSampler,VanillaCFG,2.504532089,FALSE,,,,,
0005,"A dark-haired bride, in a vintage gothic black lace dress, stands next to her spouse, in a burgundy suit, in the gothic arches of an old church, crimson roses adorning the wooden pews, candlelight casting long, dramatic shadows, shot from the aisle, underexposed, spotlight on the couple, rich, saturated colors.",boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/firefly/005.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/midjourney/005.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle2/005.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/glide/005.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-1/005.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-2/005.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-xl/005.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle3/005.png,1,1,<Wedding ceremony or reception photos> ,,,<Gothic> ,,,5.748045437,0.995,5.1,24,FALSE,53,18407:10000,#REF!,1-3,steampunk,,,,,,shot_from_below,portrait,1,A+dark-haired+bride%2C+in+a+vintage+gothic+black+lace+dress%2C+stands+next+to+her+spouse%2C+in+a+burgundy+suit%2C+in+the+gothic+arches+of+an+old+church%2C+crimson+roses+adorning+the+wooden+pews%2C+candlelight+casting+long%2C+dramatic+shadows%2C+shot+from+the+aisle%2C+underexposed%2C+spotlight+on+the+couple%2C+rich%2C+saturated+colors.,https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=A+dark-haired+bride%2C+in+a+vintage+gothic+black+lace+dress%2C+stands+next+to+her+spouse%2C+in+a+burgundy+suit%2C+in+the+gothic+arches+of+an+old+church%2C+crimson+roses+adorning+the+wooden+pews%2C+candlelight+casting+long%2C+dramatic+shadows%2C+shot+from+the+aisle%2C+underexposed%2C+spotlight+on+the+couple%2C+rich%2C+saturated+colors.&modelVersion=v1&aspectRatio=portrait&style=steampunk&style=shot_from_below,6,768,832,1152,43,DPMPP2MSampler,VanillaCFG,4.256726997,TRUE,42,DPMPP2SAncestralSampler,VanillaCFG,6.661187454,FALSE
0006,"An autumn scene, a pack of foxes play amidst a carpet of fallen leaves, a colourful Ferris wheel from an amusement park in the background, shot from a distance, twilight lighting, the scene rendered in cyberpunk neon hues.",boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/firefly/006.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/midjourney/006.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle2/006.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/glide/006.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-1/006.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-2/006.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-xl/006.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle3/006.png,1,2,<Photos of cityscapes at night> ,,,<Preppy> ,<Desert oasis> ,,3.455168862,0.998,5.2,55,TRUE,167,1497:1250,#REF!,1-3,,,,,,studio_light,,landscape,2,An+autumn+scene%2C+a+pack+of+foxes+play+amidst+a+carpet+of+fallen+leaves%2C+a+colourful+Ferris+wheel+from+an+amusement+park+in+the+background%2C+shot+from+a+distance%2C+twilight+lighting%2C+the+scene+rendered+in+cyberpunk+neon+hues.,https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=An+autumn+scene%2C+a+pack+of+foxes+play+amidst+a+carpet+of+fallen+leaves%2C+a+colourful+Ferris+wheel+from+an+amusement+park+in+the+background%2C+shot+from+a+distance%2C+twilight+lighting%2C+the+scene+rendered+in+cyberpunk+neon+hues.&modelVersion=v2&aspectRatio=landscape&style=studio_light,2,768,704,1344,46,HeunEDMSampler,VanillaCFG,6.360072531,TRUE,45,EulerEDMSampler,VanillaCFG,8.103703003,TRUE
0007,"A high-fashion model, draped in a silver sequin gown, on the rampart of an ancient stone castle, chandeliers hang from the castle's turrets, the setting sun casting long shadows, dramatic shot from ground level, fading daylight, saturated colours.",boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/firefly/007.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/midjourney/007.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle2/007.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/glide/007.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-1/007.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-2/007.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-xl/007.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle3/007.png,1,1,<Photos of castles or fortresses> ,,,<High-fashion> ,,,7.187069724,0.999,5.2,86,TRUE,100,10000:6737,#REF!,1-3,dark,neon,,,muted,,,portrait,2,A+high-fashion+model%2C+draped+in+a+silver+sequin+gown%2C+on+the+rampart+of+an+ancient+stone+castle%2C+chandeliers+hang+from+the+castle's+turrets%2C+the+setting+sun+casting+long+shadows%2C+dramatic+shot+from+ground+level%2C+fading+daylight%2C+saturated+colours.,https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=A+high-fashion+model%2C+draped+in+a+silver+sequin+gown%2C+on+the+rampart+of+an+ancient+stone+castle%2C+chandeliers+hang+from+the+castle's+turrets%2C+the+setting+sun+casting+long+shadows%2C+dramatic+shot+from+ground+level%2C+fading+daylight%2C+saturated+colours.&modelVersion=v2&aspectRatio=portrait&style=dark&style=neon&style=muted,26,512,1728,576,33,DPMPP2MSampler,VanillaCFG,2.201686691,TRUE,35,EulerEDMSampler,VanillaCFG,7.806571036,TRUE
0008,"A Maasai warrior, in traditional vibrant red shuka, adorned with intricate beadwork, brandishing a spear, standing in an open Renaissance style courtyard, the architecture reminiscent of palaces of old, shot mid-stride, natural light, high contrast.",boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/firefly/008.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/midjourney/008.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle2/008.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/glide/008.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-1/008.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-2/008.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-xl/008.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle3/008.png,1,1,<People in costume or traditional dress> ,,,<Renaissance-inspired> ,,,5.414131039,0.996,5,8,FALSE,100,1250:2411,#REF!,1-1,isometric,,,,bw,,closeup,portrait,1,A+Maasai+warrior%2C+in+traditional+vibrant+red+shuka%2C+adorned+with+intricate+beadwork%2C+brandishing+a+spear%2C+standing+in+an+open+Renaissance+style+courtyard%2C+the+architecture+reminiscent+of+palaces+of+old%2C+shot+mid-stride%2C+natural+light%2C+high+contrast.,https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=A+Maasai+warrior%2C+in+traditional+vibrant+red+shuka%2C+adorned+with+intricate+beadwork%2C+brandishing+a+spear%2C+standing+in+an+open+Renaissance+style+courtyard%2C+the+architecture+reminiscent+of+palaces+of+old%2C+shot+mid-stride%2C+natural+light%2C+high+contrast.&modelVersion=v1&aspectRatio=portrait&style=isometric&style=bw&style=closeup,2,768,704,1344,35,HeunEDMSampler,VanillaCFG,2.681762079,FALSE,,,,,
0009,"An intimate dinner setting, traditional Japanese sushi meal, colorful lanterns hang above, casting warm light onto the spread, fish, rice, wasabi, shot from above, delicate light play on the sushi textures, warm tones.",boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/firefly/009.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/midjourney/009.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle2/009.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/glide/009.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-1/009.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-2/009.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-xl/009.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle3/009.png,2,0,<Photos of lanterns or candles> ,"<Photos of different types and cultures of meals (breakfast, lunch, dinner, Chinese dinner, Japanese lunch, African food, etc)> ",,,,,3.985614547,0.999,5.2,0,TRUE,100,6299:5000,#REF!,1-1,fisheye,,,,,,,portrait,1,An+intimate+dinner+setting%2C+traditional+Japanese+sushi+meal%2C+colorful+lanterns+hang+above%2C+casting+warm+light+onto+the+spread%2C+fish%2C+rice%2C+wasabi%2C+shot+from+above%2C+delicate+light+play+on+the+sushi+textures%2C+warm+tones.,https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=An+intimate+dinner+setting%2C+traditional+Japanese+sushi+meal%2C+colorful+lanterns+hang+above%2C+casting+warm+light+onto+the+spread%2C+fish%2C+rice%2C+wasabi%2C+shot+from+above%2C+delicate+light+play+on+the+sushi+textures%2C+warm+tones.&modelVersion=v1&aspectRatio=portrait&style=fisheye,13,768,1088,960,37,EulerAncestralSampler,IdentityGuider,,TRUE,42,LinearMultistepSampler,VanillaCFG,4.846677867,TRUE
